"","ninjured","night","weekend","intersection","type1","type2","type3","acc1","acc2","rule"
"631",0,1,1,0,1,0,0,0,0,1
"1730",0,1,1,0,1,0,0,0,0,1
"2119",0,1,0,0,1,0,0,1,0,0
"116",0,1,1,1,1,0,0,0,0,1
"71",2,1,1,0,1,0,0,0,1,1
"2523",0,0,0,0,1,0,0,0,1,0
"527",0,0,1,0,1,0,0,0,1,1
"1489",0,1,1,0,1,0,0,0,1,1
"3455",0,1,1,0,1,0,0,0,1,1
"2764",0,1,0,1,1,0,0,0,1,0
"550",0,0,0,1,1,0,0,0,1,1
"1404",0,0,0,0,1,0,0,0,1,1
"2557",3,1,0,1,1,0,0,0,1,1
"3348",0,1,1,1,1,0,0,0,1,1
"1079",4,1,0,1,1,0,0,1,0,0
"4032",0,1,1,0,1,0,0,0,1,1
"3472",0,0,0,0,1,0,0,1,0,0
"1881",0,1,0,0,1,0,0,0,1,1
"2375",4,0,1,1,1,0,0,0,0,1
"194",2,1,0,1,1,0,0,1,0,0
"4057",18,1,0,0,1,0,0,1,0,1
"902",0,0,0,0,1,0,0,0,1,0
"2556",0,1,1,0,1,0,0,0,1,0
"766",0,1,0,0,1,0,0,1,0,1
"430",0,0,1,0,1,0,0,0,1,1
"2753",0,1,0,1,1,0,0,0,1,1
"962",0,0,1,0,1,0,0,1,0,1
"320",2,0,0,1,1,0,0,1,0,1
"2794",0,1,1,0,1,0,0,0,1,1
"425",0,1,1,0,1,0,0,0,1,1
"2417",2,1,0,0,1,0,0,1,0,0
"1933",2,1,0,1,1,0,0,0,1,0
"3361",0,1,0,0,1,0,0,0,1,1
"3113",0,1,1,1,1,0,0,0,1,1
"2000",0,1,0,1,1,0,0,0,1,1
"1971",0,1,0,0,1,0,0,0,1,0
"2804",0,0,0,0,1,0,0,0,1,1
"596",4,0,1,0,1,0,0,0,0,1
"2639",0,1,0,0,1,0,0,0,1,1
"986",10,0,0,0,1,0,0,1,0,1
"130",0,0,0,0,1,0,0,0,0,1
"384",0,0,0,1,1,0,0,0,1,1
"2957",4,0,1,0,1,0,0,0,0,0
"3674",0,1,1,0,1,0,0,0,1,1
"3974",0,1,0,0,1,0,0,0,0,1
"327",0,0,0,0,1,0,0,0,0,1
"424",2,1,0,1,1,0,0,0,0,0
"2598",0,0,0,0,1,0,0,0,1,1
"1380",0,0,0,0,1,0,0,0,1,1
"2226",2,1,0,0,1,0,0,1,0,1
"1953",2,1,0,1,1,0,0,0,1,1
"373",3,0,0,1,1,0,0,1,0,1
"3270",2,0,0,0,1,0,0,1,0,0
"2935",0,1,1,0,1,0,0,0,1,0
"1545",12,1,0,1,1,0,0,1,0,0
"2289",0,1,1,0,1,0,0,0,1,0
"2297",2,1,1,1,1,0,0,1,0,1
"235",0,0,0,1,1,0,0,0,1,0
"216",0,1,0,1,1,0,0,0,1,1
"3662",0,1,0,0,1,0,0,0,1,1
"2152",0,1,1,0,1,0,0,0,1,1
"1238",0,0,1,1,1,0,0,1,0,0
"3168",0,0,1,0,1,0,0,1,0,1
"3718",0,1,1,0,1,0,0,0,1,1
"3858",4,1,0,0,1,0,0,1,0,1
"89",0,1,0,0,1,0,0,0,0,1
"1092",0,0,0,0,1,0,0,1,0,0
"1087",0,1,0,1,1,0,0,0,1,1
"2159",0,1,1,0,1,0,0,0,1,1
"1589",0,1,0,1,1,0,0,1,0,0
"3158",0,0,0,1,1,0,0,0,1,0
"391",0,1,0,1,1,0,0,1,0,0
"2163",0,1,0,0,1,0,0,0,1,1
"706",0,1,1,0,1,0,0,0,1,1
"2445",0,0,0,0,1,0,0,0,0,1
"4023",0,0,0,0,1,0,0,0,0,1
"455",0,0,0,1,1,0,0,0,1,0
"1665",0,1,0,0,1,0,0,0,1,1
"474",2,0,1,1,1,0,0,1,0,0
"2543",2,0,0,0,1,0,0,1,0,0
"411",0,1,0,0,1,0,0,0,1,1
"2429",0,0,0,0,1,0,0,0,0,1
"1814",0,1,1,0,1,0,0,0,1,1
"2703",6,0,0,0,1,0,0,1,0,1
"126",2,0,0,1,1,0,0,1,0,1
"2347",0,1,0,0,1,0,0,0,1,1
"1245",0,0,0,0,1,0,0,0,0,1
"1503",2,0,1,0,1,0,0,1,0,1
"282",6,0,0,0,1,0,0,1,0,1
"3803",0,1,0,1,1,0,0,0,1,1
"698",2,1,0,0,1,0,0,1,0,1
"167",2,0,0,0,1,0,0,0,1,1
"3110",0,1,0,0,1,0,0,0,0,1
"2252",2,1,0,0,1,0,0,1,0,1
"247",2,1,1,1,1,0,0,0,0,1
"1618",0,0,1,0,1,0,0,1,0,1
"2244",2,1,0,0,1,0,0,0,0,1
"1751",0,1,0,0,1,0,0,0,1,1
"1279",0,1,0,0,1,0,0,0,1,1
"990",4,0,0,1,1,0,0,1,0,0
"482",0,1,1,0,1,0,0,0,0,1
"40",6,1,0,0,1,0,0,1,0,0
"301",4,0,1,1,1,0,0,1,0,0
"483",0,0,0,1,1,0,0,0,1,1
"2949",0,1,1,1,1,0,0,0,1,1
"210",0,0,0,0,1,0,0,0,1,1
"3616",0,1,0,0,1,0,0,1,0,1
"2775",0,1,0,0,1,0,0,0,1,1
"1783",2,1,1,0,1,0,0,0,0,0
"3991",0,1,0,1,1,0,0,1,0,1
"3248",0,0,0,0,1,0,0,0,1,0
"3934",0,1,0,1,1,0,0,0,1,1
"2336",4,0,1,0,1,0,0,0,0,1
"1562",0,0,0,0,1,0,0,0,1,1
"2809",0,1,0,1,1,0,0,0,1,0
"3821",2,1,0,1,1,0,0,1,0,1
