"YEAR","QUARTER","CODE","CODE0","NAME","SVCODE","SVNAME","SALES_MONTH_AMT","SALES_MONTH_CNT","SALES_PER_WKND","SALES_PER_1114","SALES_PER_1417","SALES_PER_1721","SALES_PER_2124","SALES_PER_WOMAN","SALES_PER_AGE10","SALES_PER_AGE20","SALES_PER_AGE30","N_STORE","REPOP_TOT_AVG","FLPOP_TOT_AVG","IN_MONTH_AVG","CN_TOT_AVG"
2018,1,1000828,"001331","장군봉2길","CS100005","분식전문점",59770494,5512,13,40,19,35,6,37,1,31,29,2,931,41187,3308199,601149089
2018,1,1000717,"000943","신길로42길","CS100007","치킨전문점",38903649,2520,37,2,9,51,38,40,3,22,25,2,2320,32833.6666666667,2148847,542041552
2018,1,1000817,"000961","신림로28길","CS100007","치킨전문점",152733793,7446,38,1,7,48,38,39,2,37,25,5,2073,19994.6666666667,2455822,1091906700
2018,1,1000723,"001055","여의대방로39길","CS100007","치킨전문점",162472992,8107,36,4,7,47,34,47,2,25,27,3,434,38183,1955180,447876151
2018,1,1000697,"000277","대림로7길","CS100007","치킨전문점",30817829,1465,46,1,13,58,29,52,4,17,38,2,681,23020,2470070,251008513
2018,1,1000836,"001662","행운1길","CS100007","치킨전문점",134747555,6497,36,1,6,48,34,37,2,49,23,5,3075,113830,2515168,1204558853
2018,1,1000019,"001409","종로65길","CS100007","치킨전문점",132924517,5602,35,3,7,43,38,41,1,27,29,2,5225,115323.666666667,2721614,2667658371
2018,1,1000093,"000520","마장로27길","CS100007","치킨전문점",14200556,452,31,0,0,34,42,33,0,12,22,2,1482,26992.6666666667,2383947,541890923
2018,1,1000271,"000436","동소문로2길","CS100008","제과점",16033445,2101,20,15,20,40,19,53,2,25,20,2,642,55419.3333333333,2595691,178351315
2018,1,1000713,"000823","선유서로28길","CS100010","호프·간이주점",290225236,8698,10,30,5,21,36,27,1,23,32,6,581,29280,2767157,327140505
2018,1,1000712,"000822","선유서로25길","CS100010","호프·간이주점",154342065,3494,14,0,1,17,58,19,0,18,27,7,1391,17080.6666666667,2561835,703911667
2018,1,1000359,"000320","도봉로109길","CS100010","호프·간이주점",162847148,4636,28,0,1,32,45,41,1,27,27,4,2945,67307.3333333333,2448577,1234220301
2018,1,1000449,"001440","증가로23나길","CS100010","호프·간이주점",277799589,8137,27,0,2,14,49,33,2,11,14,24,763,7438,2741263,565965035
2018,1,1000452,"001529","충정로6길","CS100010","호프·간이주점",400679444,9176,4,28,9,15,38,36,0,12,31,11,300,22467.3333333333,3213820,88275924
2018,1,1000812,"000674","봉천로33길","CS100010","호프·간이주점",267763275,6924,35,2,4,28,44,14,0,6,9,7,1052,22331.3333333333,4422033,857659871
2018,1,1000513,"000207","남부순환로40길","CS100010","호프·간이주점",167461844,4884,26,2,7,34,41,33,2,6,7,10,2737,36926,2107268,951515799
2018,1,1000870,"000798","서초대로23길","CS100010","호프·간이주점",409679945,8359,24,1,1,30,53,28,0,11,18,3,4468,115932.333333333,3663361,2444590761
2018,1,1000854,"000418","동광로1길","CS100001","한식음식점",329740290,13085,11,56,7,16,9,29,1,16,24,20,2710,63963,3954201,1846441115
2018,1,1001010,"001584","풍성로37가길","CS100001","한식음식점",178279719,7685,19,49,12,28,6,46,1,9,21,12,2545,37338.3333333333,2350846,866496585
2018,1,1000392,"000027","갈현로41길","CS100001","한식음식점",15670534,862,27,0,1,54,38,57,6,27,18,1,2864,22532.6666666667,2542903,1541428344
2018,1,1000124,"001497","청계천로10나길","CS100001","한식음식점",801091388,25785,12,52,11,26,7,29,0,11,22,10,1424,21275.3333333333,2627200,768846892
2018,1,1000728,"001096","영등포로35길","CS100002","중식음식점",40757835,2907,12,54,18,27,1,39,0,15,25,1,1034,64952.3333333333,2697745,932723795
2018,1,1000290,"001303","인촌로1길","CS100002","중식음식점",81486513,3718,41,36,26,38,0,28,1,21,24,1,878,79226.6666666667,2587213,395716781
2018,1,1000619,"000061","경인로35길","CS100002","중식음식점",16886890,888,26,45,23,30,1,36,1,14,16,3,3474,38585.6666666667,2554572,1497824938
2018,1,1000298,"001372","정릉로27길","CS100002","중식음식점",83251609,4368,38,38,25,36,1,45,2,21,23,2,3735,33024,2612496,1543699047
2018,1,1000871,"000799","서초대로25길","CS100005","분식전문점",257729314,14507,14,51,13,16,1,45,1,23,27,5,1115,69741.3333333333,4019083,686589852
2018,1,1000419,"001259","응암로14길","CS100005","분식전문점",38124185,2336,35,12,17,38,31,57,9,30,19,2,2145,80672,2560337,815299125
2018,1,1000295,"001336","장월로1길","CS100005","분식전문점",22009145,3990,11,15,22,59,5,54,2,38,26,3,2567,154505.333333333,3805263,992999454
2018,1,1000400,"001067","연서로13길","CS100005","분식전문점",97499170,10458,10,31,28,38,1,63,15,17,17,7,3284,38126.3333333333,2854374,1691028508
2018,1,1000441,"000851","세무서2길","CS100008","제과점",21698192,3214,14,38,16,33,1,61,2,9,25,3,1123,11929,2116515,775176283
2018,1,1000827,"001330","장군봉1길","CS100008","제과점",224951256,39488,29,13,18,34,18,54,4,30,24,5,1006,75658,2479730,736338415
2018,1,1000622,"000084","고척로27길","CS100010","호프·간이주점",59952211,1412,36,1,4,37,46,18,0,6,7,9,2603,72798.6666666667,2530915,1092929478
2018,1,1000287,"001130","오패산로3길","CS100010","호프·간이주점",50359979,1532,26,8,8,41,39,36,0,7,13,6,2233,79431.6666666667,2579750,691783251
2018,1,1000203,"001363","전농로29길","CS100010","호프·간이주점",72729144,3566,31,1,5,28,37,23,3,9,7,7,3583,123429,2930631,1507891114
2018,1,1000221,"001743","휘경로3길","CS100010","호프·간이주점",238387027,8647,32,0,0,11,56,33,3,54,20,13,2640,242775.333333333,2777210,978808656
2018,1,1000793,"000176","난우길","CS100010","호프·간이주점",267138166,9278,31,2,1,17,48,38,4,25,15,11,2100,84813.6666666667,2779864,1010658639
2018,1,1000686,"000067","경인로90길","CS100001","한식음식점",345258388,14980,7,83,6,9,1,29,1,19,22,8,50,10382,1977108,75541838
2018,1,1000627,"000127","구로동로28길","CS100002","중식음식점",270295134,7221,34,15,18,49,14,33,0,8,28,11,2631,75406.3333333333,2636305,973874165
2018,1,1000644,"000502","디지털로32길","CS100002","중식음식점",898376641,43435,23,28,10,33,21,33,1,34,36,7,297,228462,2339253,586842261
2018,1,1000301,"001411","종암로19길","CS100002","중식음식점",94501884,4863,39,42,21,36,0,43,2,21,27,2,1402,30664.3333333333,2917109,683948234
2018,1,1000304,"001415","종암로5길","CS100002","중식음식점",178990416,8306,24,45,16,37,1,35,2,42,18,1,1291,28285.3333333333,3139557,398891710
2018,1,1000299,"001381","정릉로8길","CS100002","중식음식점",111496974,5433,23,41,17,35,5,31,3,44,16,3,279,9052.66666666667,2834550,66561427
2018,1,1000307,"001623","한천로101가길","CS100002","중식음식점",17473624,810,31,51,20,29,0,36,1,15,21,1,1021,28292.3333333333,2857880,1151558491
2018,1,1000429,"001462","진흥로12길","CS100002","중식음식점",12322610,545,22,41,17,33,9,20,3,15,16,1,1353,18521.3333333333,2686666,731694140
2018,1,1000731,"001105","영등포로84길","CS100002","중식음식점",207566789,10272,34,45,18,35,2,32,1,21,20,2,2333,136365.333333333,3307630,869810189
2018,1,1000389,"000018","가좌로7길","CS100002","중식음식점",126910659,6826,38,39,22,37,1,40,2,25,28,2,2475,100626.666666667,2418153,832916098
2018,1,1000281,"000750","삼양로8길","CS100002","중식음식점",111509519,5803,41,36,21,44,0,47,1,10,27,1,934,18443.6666666667,2594911,747142411
2018,1,1000278,"000715","삼선교로10길","CS100002","중식음식점",7992169,488,39,40,23,32,0,26,4,34,8,1,2004,101581,2625390,498042584
2018,1,1000743,"000484","동작대로7길","CS100002","중식음식점",114540705,6897,31,35,16,42,7,33,1,21,27,5,1545,70281,3013804,656565641
2018,1,1000221,"001743","휘경로3길","CS100005","분식전문점",305877132,21928,26,20,11,42,16,43,3,49,20,9,2640,242775.333333333,2777210,978808656
2018,1,1000220,"001742","휘경로2길","CS100005","분식전문점",440858405,51445,22,23,21,41,11,53,6,60,12,10,1215,119562,2305264,537644903
2018,1,1000060,"000858","소월로20길","CS100005","분식전문점",14466266,1617,24,11,20,39,26,49,5,35,27,5,1296,37501.6666666667,2655778,455081251
2018,1,1000639,"000211","남부순환로97길","CS100005","분식전문점",319012123,44881,26,16,19,45,17,55,3,27,30,6,452,16155.6666666667,3042988,176269482
2018,1,1000789,"000165","난곡로24길","CS100005","분식전문점",13824919,1737,25,42,15,36,4,27,4,14,26,1,2364,9319.66666666667,2814457,825283063
2018,1,1000682,"000929","시흥대로94길","CS100005","분식전문점",113322224,11941,21,32,17,32,3,49,3,17,23,7,5336,77784.3333333333,2399734,2420813201
2018,1,1000650,"001123","오류로8길","CS100005","분식전문점",226134424,20952,23,40,13,35,6,47,3,20,29,7,2871,85302,2431560,1202898528
2018,1,1000427,"001452","증산로9길","CS100008","제과점",3207944,552,11,24,42,28,7,66,3,17,39,1,5476,37987.6666666667,2758655,2146146724
2018,1,1000459,"000287","대흥로21길","CS100008","제과점",2958749,584,11,27,17,39,12,41,3,42,24,2,3330,126470,2445071,1586770983
2018,1,1000487,"000896","숭문길","CS100008","제과점",208062740,26956,12,31,21,17,4,58,1,23,25,4,2555,94595.3333333333,3482975,843152889
2018,1,1000871,"000799","서초대로25길","CS100008","제과점",695449246,66244,30,32,28,25,2,64,1,26,27,3,1115,69741.3333333333,4019083,686589852
2018,1,1000120,"001168","왕십리로6길","CS100008","제과점",589102574,65814,24,19,19,31,10,60,2,27,25,5,1661,65237,2678264,658104905
2018,1,1000692,"000272","대림로22길","CS100010","호프·간이주점",4213389,128,50,0,27,24,34,9,1,5,13,4,1295,26137.3333333333,2310422,516585634
2018,1,1000616,"000048","개봉로3길","CS100010","호프·간이주점",151745319,4808,28,0,0,22,58,36,2,25,29,4,8859,63387.6666666667,2700001,3989753614
2018,1,1000489,"000990","신촌로28가길","CS100010","호프·간이주점",9496423,144,35,0,0,15,17,0,0,8,17,4,167,21719.6666666667,2434508,23168170
2018,1,1000866,"000709","사평대로22길","CS100010","호프·간이주점",1455807419,16771,32,0,2,18,50,30,1,24,26,11,2101,29346.3333333333,5597838,1400615168
2018,1,1000965,"001121","오금로46길","CS100010","호프·간이주점",501184936,14281,30,0,1,23,45,31,2,23,20,12,3047,71240.3333333333,3371816,1399839055
2018,1,1000803,"000216","남현길","CS100010","호프·간이주점",1914503,77,4,4,0,30,49,32,0,10,31,1,2301,52645,3508391,1131175651
2018,1,1000237,"000453","동일로157길","CS100002","중식음식점",24890410,2077,10,40,20,38,2,35,0,14,34,2,2900,117415,2298262,1135546848
2018,1,1000152,"001006","아차산로51길","CS100002","중식음식점",165125674,8432,34,39,19,41,1,42,2,23,28,2,1835,25688.3333333333,2785273,818730852
2018,1,1000236,"000451","동일로149길","CS100002","중식음식점",112531956,5327,34,44,16,36,1,41,1,17,30,2,4025,50045.6666666667,2394304,1768129028
2018,1,1000811,"000669","봉천로13길","CS100001","한식음식점",2e+06,135,22,27,17,39,4,36,3,48,34,2,2390,15964.3333333333,2679042,1093831315
2018,1,1000715,"000939","신길로39길","CS100002","중식음식점",108570503,4791,41,40,21,39,0,44,1,20,31,1,1824,62327.6666666667,2431148,439643583
2018,1,1000529,"000579","목동중앙서로7길","CS100002","중식음식점",3588336,782,17,11,14,65,10,56,11,13,8,2,2979,64021.3333333333,3573195,1390637959
2018,1,1000871,"000799","서초대로25길","CS100002","중식음식점",264789972,10861,22,52,16,31,2,41,1,16,27,2,1115,69741.3333333333,4019083,686589852
2018,1,1000800,"000198","남부순환로248길","CS100005","분식전문점",144736152,9019,24,32,12,31,13,49,1,43,29,7,1934,49053.3333333333,2972321,869427736
2018,1,1000803,"000216","남현길","CS100005","분식전문점",20117942,2314,33,32,17,34,1,51,1,21,26,5,2301,52645,3508391,1131175651
2018,1,1000201,"001357","장한로5길","CS100005","분식전문점",65454347,3900,11,52,13,20,9,44,1,16,37,5,1141,45671.3333333333,2784705,679792322
2018,1,1000860,"000596","바우뫼로39길","CS100005","분식전문점",110714727,8193,4,70,8,17,1,38,0,25,38,4,5231,146403,4307739,2964364048
2018,1,1000067,"001192","원효로53길","CS100008","제과점",197673651,18210,25,17,18,32,19,52,1,20,26,1,1167,37707.6666666667,3379994,510356279
2018,1,1000564,"000044","강서로5나길","CS100008","제과점",11758703,979,30,7,12,28,30,44,0,15,28,1,2408,128349,2519288,1235127170
2018,1,1000621,"000083","고척로21나길","CS100008","제과점",45519020,4981,29,20,22,32,14,56,1,17,27,1,3524,9154.33333333333,3844901,1417560015
2018,1,1000231,"000450","동일로123길","CS100008","제과점",457282997,44828,27,16,20,38,14,67,2,22,26,1,4464,44171.6666666667,2198443,1527300670
2018,1,1000620,"000063","경인로47길","CS100010","호프·간이주점",1235327199,43662,30,1,0,23,45,36,7,50,15,25,1607,70267.3333333333,2721948,589918865
2018,1,1000226,"000097","공릉로2길","CS100010","호프·간이주점",86024815,2734,29,0,0,25,51,25,2,6,20,6,3192,36614,3783986,1286448118
2018,1,1000864,"000607","방배로42길","CS100010","호프·간이주점",102534177,464,15,0,0,6,48,19,0,2,6,1,614,43096.3333333333,4283668,415525656
2018,1,1000624,"000089","고척로52길","CS100010","호프·간이주점",21905080,416,25,0,0,30,65,30,0,25,39,1,2559,36393.6666666667,2676603,938652939
2018,1,1001010,"001584","풍성로37가길","CS100010","호프·간이주점",73469534,2876,30,0,0,37,45,36,4,10,25,3,2545,37338.3333333333,2350846,866496585
2018,1,1000118,"001162","왕십리로26길","CS100010","호프·간이주점",223652533,7136,25,1,2,21,57,21,1,11,19,8,3174,183150.666666667,3102513,1127218823
2018,2,1000389,"000018","가좌로7길","CS100002","중식음식점",122992921,6894,38,40,22,37,0,39,2,27,24,2,2475,112356,2418153,832916098
2018,2,1000278,"000715","삼선교로10길","CS100002","중식음식점",8732397,620,30,44,21,31,0,33,2,29,11,1,2004,132474.666666667,2625390,498042584
2018,2,1000042,"001500","청구로17길","CS100002","중식음식점",145068323,2814,23,53,13,31,3,49,0,10,24,1,1892,48382.6666666667,2882043,803743679
2018,2,1000404,"001073","연서로27길","CS100002","중식음식점",148112115,7833,39,15,11,32,25,35,3,37,27,2,4390,38926.3333333333,2965582,2151731448
2018,2,1000262,"000406","돌곶이로14길","CS100002","중식음식점",6039360,336,41,26,29,44,0,34,3,17,20,1,2078,32156.3333333333,2341186,559205517
2018,2,1000830,"001393","조원로18길","CS100002","중식음식점",23726914,1460,34,21,12,40,25,37,1,12,21,2,1113,30111.3333333333,2460854,425765503
2018,2,1000214,"001635","한천로14길","CS100002","중식음식점",90062612,4558,36,47,16,35,0,35,1,21,30,2,3179,121099.666666667,2714313,1731572195
2018,2,1000226,"000097","공릉로2길","CS100002","중식음식점",49808985,2221,39,39,20,39,0,40,1,15,26,1,3192,38735.3333333333,3783986,1286448118
2018,2,1000952,"000635","백제고분로46길","CS100002","중식음식점",293328047,15488,34,41,19,38,0,36,1,13,30,2,3573,62860,3016815,1983549875
2018,2,1000123,"001349","장터길","CS100002","중식음식점",75807734,3948,32,41,21,37,1,36,1,14,24,1,1662,39740.3333333333,2378429,879578668
2018,1,1000449,"001440","증가로23나길","CS100005","분식전문점",59793675,6780,27,30,12,23,10,45,2,21,22,6,763,7438,2741263,565965035
2018,1,1000047,"001570","퇴계로56길","CS100005","분식전문점",261960342,15746,10,41,8,27,17,44,1,35,24,6,959,31686.6666666667,2875852,310712594
2018,1,1000046,"001567","퇴계로46길","CS100005","분식전문점",22301905,1858,9,51,21,25,2,46,11,41,17,3,102,86812.6666666667,3386187,282859105
2018,1,1000575,"000105","공항대로42길","CS100005","분식전문점",51390876,3268,24,46,21,29,0,49,1,9,21,1,898,9933.33333333333,3560012,535702106
2018,1,1000081,"001603","한강대로62길","CS100005","분식전문점",260464097,33067,14,33,13,25,2,38,2,24,28,10,898,26416,2654315,483602357
2018,1,1000427,"001452","증산로9길","CS100005","분식전문점",199739816,21176,26,23,12,28,15,47,1,23,25,4,5476,37987.6666666667,2758655,2146146724
2018,1,1000661,"000390","독산로40길","CS100008","제과점",26555673,3669,30,16,26,42,11,55,1,11,20,2,7471,47189.3333333333,2468755,2965857187
2018,1,1000343,"001293","인수봉로56길","CS100008","제과점",13428340,1899,33,17,23,42,11,51,2,11,20,1,2541,21128.6666666667,2414494,1215587784
2018,1,1000964,"001120","오금로36길","CS100010","호프·간이주점",574919623,12673,21,3,0,16,46,24,1,20,20,17,2223,92165.3333333333,3179134,1557665509
2018,1,1000325,"000355","도봉로8길","CS100010","호프·간이주점",45434003,1273,32,0,2,17,55,21,1,6,32,8,278,24383.6666666667,2212350,108683997
2018,1,1000820,"000969","신림로64길","CS100010","호프·간이주점",138094529,3642,35,3,5,19,42,29,0,26,30,10,1198,71719.6666666667,2268666,1084898799
2018,1,1000834,"001511","청룡길","CS100010","호프·간이주점",724732360,20738,30,1,7,23,42,29,2,23,24,25,3538,82435,2760444,1769590004
2018,1,1000858,"000609","방배천로4안길","CS100010","호프·간이주점",291039375,2903,21,0,0,12,59,23,0,17,23,4,1104,8511,4972070,458684928
2018,1,1000416,"001250","은평로8길","CS100010","호프·간이주점",14045703,587,31,0,0,16,59,32,2,14,38,3,2649,53193.3333333333,3039938,984913458
2018,1,1000419,"001259","응암로14길","CS100010","호프·간이주점",11838816,490,29,0,0,4,78,21,0,9,15,7,2145,80672,2560337,815299125
